,Coef.,Std.Err.,t,P>|t|,[0.025,0.975],Training
Intercept,-4.366858152751556e-11,0.0017997734862067853,-2.426337639829985e-08,0.9999999806406434,-0.0035275061389022696,0.003527506051565107,Untrained
glovesim,-0.0005675304864482762,0.00186818269256837,-0.3037874661326819,0.7612900366276695,-0.004229116728022593,0.0030940557551260408,Untrained
distance,-0.019815566992239287,0.002057319066756198,-9.631742257404317,5.917669555454841e-22,-0.02384785527931607,-0.015783278705162503,Untrained
durationdiff,-0.2645548731773778,0.0018241675866829492,-145.02772393760276,0.0,-0.2681301910326896,-0.260979555322066,Untrained
sametype,-0.002524811344641158,0.002097984966108072,-1.2034458708848057,0.2288048190599425,-0.006636803666104087,0.0015871809768217703,Untrained
samespeaker,0.010196305252268277,0.0018418491066845273,5.535906940076337,3.098917606912278e-08,0.006586332108356819,0.013806278396179735,Untrained
sameepisode,0.01711142472295888,0.0018419291922927572,9.289947080788316,1.5539323955411702e-20,0.013501294613477401,0.02072155483244036,Untrained
Intercept,1.2173379641019881e-14,0.0016674266631513614,7.300698681411716e-12,0.9999999999941749,-0.003268109994217289,0.003268109994241636,Pre-trained
glovesim,0.036316502050347046,0.0017308053802880048,20.98242960413262,1.124500944974619e-97,0.032924171529078484,0.03970883257161561,Pre-trained
distance,-0.007228864906148523,0.0019060335607837824,-3.792622047628549,0.00014909547828127526,-0.010964637799189277,-0.0034930920131077707,Pre-trained
durationdiff,-0.44171499991476065,0.0016900269369465248,-261.3656565219216,0.0,-0.44502740581854616,-0.43840259401097514,Pre-trained
sametype,-0.0033947148318817745,0.001943709082386923,-1.7465138495484007,0.08072277279201989,-0.007204330701894196,0.0004149010381306467,Pre-trained
samespeaker,0.011386434570447477,0.001706408241661605,6.672749399850532,2.515082646015871e-11,0.008041921763947161,0.014730947376947792,Pre-trained
sameepisode,0.023945936099204843,0.001706482438153286,14.032336673278955,1.0227029593905015e-44,0.02060127786963954,0.027290594328770148,Pre-trained
Intercept,-6.787698522822336e-17,0.0014460345575155766,-4.694008512828518e-14,0.9999999999999625,-0.0028341876100783942,0.002834187610078258,Fully-trained
glovesim,0.06514045501657974,0.0015009981833324867,43.39809051064684,0.0,0.06219854022495818,0.0680823698082013,Fully-trained
distance,0.004606014008534528,0.0016529604915089574,2.786523956377071,0.005328017842857177,0.0013662573093360013,0.007845770707733055,Fully-trained
durationdiff,-0.6185516268992689,0.0014656340863220519,-422.03687309940955,0.0,-0.6214242290419861,-0.6156790247565517,Fully-trained
sametype,-0.0034200077249592347,0.0016856336563410477,-2.0289151869350657,0.0424678511578839,-0.006723802920656944,-0.00011621252926152575,Fully-trained
samespeaker,-0.0009526556359550297,0.0014798403679167273,-0.6437556756855797,0.5197343948994814,-0.0038531016964207464,0.001947790424510687,Fully-trained
sameepisode,0.020812427606838914,0.0014799047129901198,14.063356528399584,6.602093100802861e-45,0.01791185543181471,0.023712999781863118,Fully-trained
