,Coef.,Std.Err.,t,P>|t|,[0.025,0.975],Training
Intercept,1.692371021998733e-12,0.0001857461545424447,9.111203546407797e-09,0.9999999927303114,-0.00036405578764753304,0.00036405579103227507,Untrained
glovesim,-0.054153401233521616,0.00020683577651478132,-261.8183476089863,0.0,-0.054558791924210794,-0.05374801054283244,Untrained
distance,-0.03528221081908894,0.00023376313118339802,-150.93146057924938,0.0,-0.03574037815747167,-0.0348240434807062,Untrained
durationdiff,-0.24658796672498365,0.00019033499601204637,-1295.5471767755048,0.0,-0.24696101647873422,-0.24621491697123307,Untrained
sametype,0.006826120844237957,0.00024410137925580969,27.964286252903232,4.444259847405864e-172,0.006347690911070074,0.00730455077740584,Untrained
sameepisode,0.013736887576599575,0.000185757610237757,73.95060454867664,0.0,0.013372809334508445,0.014100965818690706,Untrained
Intercept,-2.44619601375118e-15,0.00017518904930582187,-1.3963178768559526e-11,0.999999999988859,-0.00034336424237853453,0.0003433642423736422,Pre-trained
glovesim,0.10015813111135577,0.00019508001734580116,513.4207617677944,0.0,0.0997757812862721,0.10054048093643944,Pre-trained
distance,-0.009030564715576813,0.00022047692355005682,-40.95922861299597,0.0,-0.009462691564350461,-0.008598437866803164,Pre-trained
durationdiff,-0.3724317482247947,0.0001795170784725896,-2074.6312907585625,0.0,-0.3727835952488385,-0.3720799012007509,Pre-trained
sametype,-0.023472046562909826,0.00023022758490697702,-101.9514953970162,0.0,-0.023923284357617317,-0.023020808768202335,Pre-trained
sameepisode,0.024589488919190845,0.00017519985390296598,140.35108118760004,0.0,0.024246103500192545,0.024932874338189144,Pre-trained
Intercept,2.6360648136239004e-15,0.00016163307047280918,1.630894473459473e-11,0.9999999999869873,-0.00031679501090546114,0.0003167950109107333,Fully-trained
glovesim,0.17614979757426136,0.0001799848924144077,978.6921291631734,0.0,0.17579703365169944,0.17650256149682328,Fully-trained
distance,0.010908052826486686,0.00020341660773319937,53.62419985291297,0.0,0.010509363583764123,0.01130674206920925,Fully-trained
durationdiff,-0.47680989465468976,0.00016562620044350358,-2878.8313284849723,0.0,-0.4771345160568736,-0.4764852732525059,Fully-trained
sametype,-0.0311475489140142,0.00021241277125200674,-146.63689349008453,0.0,-0.03156387031401581,-0.030731227514012593,Fully-trained
sameepisode,0.015427050891880505,0.00016164303901946515,95.43900551153811,0.0,0.015110236342979116,0.015743865440781893,Fully-trained
