fragment_type,triplet_acc,triplet_acc_std,recall_at_10_fixed,recall_at_10_fixed_std,recall_at_10_jitter,recall_at_10_jitter_std,version,checkpoint_path,hparams_path,jitter,static,audio_pretrained,vidoe_pretrained,resolution
dialog,0.8352709412574768,0.0170826260000467,0.5635000467300415,0.0521531365811824,0.53329998254776,0.0500919371843338,68,/roaming/gchrupal/verdigris/peppa/lightning_logs/version_68/checkpoints/epoch=6-valnarr_triplet=0.88.ckpt,lightning_logs/version_68/hparams.yaml,False,False,True,True,180x100
narration,0.8815129399299622,0.0114575363695621,0.6381000280380249,0.0431978069245815,0.6215000152587891,0.0487080588936805,68,/roaming/gchrupal/verdigris/peppa/lightning_logs/version_68/checkpoints/epoch=6-valnarr_triplet=0.88.ckpt,lightning_logs/version_68/hparams.yaml,False,False,True,True,180x100
dialog,0.8317930698394775,0.017107006162405,0.5550000071525574,0.0489588566124439,0.5370000004768372,0.0533995814621448,206974,/roaming/gchrupal/verdigris/peppa/lightning_logs/version_206974/checkpoints/epoch=19-valnarr_triplet=0.88.ckpt,lightning_logs/version_206974/hparams.yaml,True,False,True,True,180x100
narration,0.8808762431144714,0.0115045979619026,0.653999924659729,0.0532764829695224,0.6232999563217163,0.0430657230317592,206974,/roaming/gchrupal/verdigris/peppa/lightning_logs/version_206974/checkpoints/epoch=19-valnarr_triplet=0.88.ckpt,lightning_logs/version_206974/hparams.yaml,True,False,True,True,180x100
dialog,0.7443005442619324,0.0186526719480752,0.4009000360965729,0.0391860343515872,0.3902000188827514,0.0436232686042785,206975,/roaming/gchrupal/verdigris/peppa/lightning_logs/version_206975/checkpoints/epoch=32-valnarr_triplet=0.87.ckpt,lightning_logs/version_206975/hparams.yaml,True,False,True,False,180x100
narration,0.8695483207702637,0.0124260922893881,0.5864999890327454,0.0499570555984973,0.5679000020027161,0.0420027673244476,206975,/roaming/gchrupal/verdigris/peppa/lightning_logs/version_206975/checkpoints/epoch=32-valnarr_triplet=0.87.ckpt,lightning_logs/version_206975/hparams.yaml,True,False,True,False,180x100
dialog,0.6280492544174194,0.0225019622594118,0.2141999751329422,0.0360185131430625,0.205499991774559,0.0339748859405517,206976,/roaming/gchrupal/verdigris/peppa/lightning_logs/version_206976/checkpoints/epoch=4-valnarr_triplet=0.78.ckpt,lightning_logs/version_206976/hparams.yaml,True,False,False,True,180x100
narration,0.7751156687736511,0.0135719943791627,0.3167000114917755,0.0390041433274745,0.3104999959468841,0.042124755680561,206976,/roaming/gchrupal/verdigris/peppa/lightning_logs/version_206976/checkpoints/epoch=4-valnarr_triplet=0.78.ckpt,lightning_logs/version_206976/hparams.yaml,True,False,False,True,180x100
dialog,0.7789556384086609,0.0183164235204458,0.4520999789237976,0.0463254824280738,0.4330999851226806,0.0386827290058136,206972,/roaming/gchrupal/verdigris/peppa/lightning_logs/version_206972/checkpoints/epoch=10-valnarr_triplet=0.85.ckpt,lightning_logs/version_206972/hparams.yaml,False,True,True,True,180x100
narration,0.8530421853065491,0.0125751867890357,0.5716000199317932,0.0419889353215694,0.5731000304222107,0.0440086089074611,206972,/roaming/gchrupal/verdigris/peppa/lightning_logs/version_206972/checkpoints/epoch=10-valnarr_triplet=0.85.ckpt,lightning_logs/version_206972/hparams.yaml,False,True,True,True,180x100
